Pivô,cities,avila,internet,card,ulcer,nasa,aloi,la,sift,mnist_s,cophir
BPP,191.34181818181818,5144.885960709152,851.0302659202239,5960.13126252505,3960.7567386945866,22137.432378580324,5907.024383561644,5021.472402128433,24862.826333333334,6442.937142857143,26989.030333333332
CONVEX,178.0218181818182,6470.4259702922855,1151.3789363191042,7615.522044088177,8726.488750278459,26367.827397260273,5819.849863013698,4929.163499799644,26296.97266666667,6466.777142857143,27078.248666666666
GNAT,182.51636363636365,3155.260661236224,1312.1745976207137,8135.221108884435,9036.721541546001,27422.47920298879,5386.078173515982,5027.480229990028,26591.656666666666,6468.105714285714,27069.283
SSS,191.01454545454544,2574.404887398179,832.3815605318405,5809.080828323314,4714.538650033415,20397.00722291407,5763.986392694064,5033.735054841625,23836.889,6324.521428571428,26955.07966666667
MAXSEPARATED,166.14545454545456,3310.54528030666,1252.0337648705388,8033.236806947228,7930.045889953219,27238.300124533,5554.724657534247,4906.88829455125,26193.775,6468.821428571428,26967.732333333333
MAXVARIANCE,173.58,2464.5912793483467,759.9366689993002,5143.517702070808,4526.698596569392,16517.4099626401,5825.659908675799,4849.409257378225,22431.037666666667,6067.341428571429,26359.075666666668
PCA,187.51636363636365,2459.372304743651,849.992477256823,5753.5066800267205,4897.3958565382045,20864.75392278954,5813.90703196347,5100.948513172241,24084.665,6422.302857142857,27020.393666666667
IS,177.47636363636363,2261.743651173934,766.2190342897131,5337.293921175685,3480.7678770327466,18013.804483188043,5330.762739726028,4922.699689681201,22841.796,6350.504285714285,26867.545666666665
HFI,159.3272727272727,2694.8308576904647,912.1821203638908,6178.488977955912,5400.5607039429715,22620.3098381071,4962.9301369863015,4814.253818412249,25965.877333333334,6359.057142857143,27006.314666666665
WDR,199.93272727272728,2592.9305222807857,960.4996501049685,5722.510688042752,4957.695032301181,19724.70410958904,6006.892602739726,5177.562935075343,24403.328666666668,6415.535714285715,26958.055
SELECTION,167.40545454545455,3468.63009103977,1178.973233030091,6672.974281897127,7194.2664290487855,22956.536488169364,5306.698812785388,4928.6199480006335,24713.272666666668,6264.155714285715,26845.086666666666
KMEDOIDS,193.15454545454546,2274.0579779587924,829.0484604618614,5246.164662658651,3715.759189128982,18859.076712328766,5935.07707762557,5129.8831039335,21345.602,6354.711428571429,26776.366666666665
